1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
96,248,152,256,104,192,88,200,112,264,152,248,96,432,336,424,88,208,120,344,224,160,-64,72,136,552,416,496,80,472,392,472,80,232,152,255,103,312,209,281,72,624,552,631,79,336,227.72727272727272,334.45454545454544,105.83333333333333,3775,1633729449073,1
96,1536,1440,1568,128,328,200,288,88,248,160,304,144,1296,1152,1224,72,208,136,432,296,232,-64,112,176,592,416,488,72,280,208,272,64,232,168,264,96,200,104,176,72,456,384,440,56,509.8181818181818,391.27272727272725,506.1818181818182,113.33333333333333,5664,1633126788056,1
128,320,192,288,96,160,64,168,104,176,72,168,96,800,704,800,96,408,312,592,280,208,-72,72,144,400,256,336,80,264,184,256,72,232,160,264,104,232,128,192,64,320,256,320,64,320,205.0909090909091,314.1818181818182,110.66666666666667,3584,1633126989024,1
104,240,136,232,96,216,120,208,88,192,104,192,88,888,800,872,72,232,160,392,232,168,-64,112,176,472,296,368,72,272,200,272,72,192,120,224,104,248,144,208,64,280,216,288,72,309.09090909090907,202.9090909090909,306.1818181818182,103.33333333333333,3472,1633127135224,1
96,480,384,488,104,144,40,136,96,136,40,152,112,928,816,896,80,328,248,464,216,152,-64,88,152,512,360,432,72,296,224,280,56,216,160,264,104,232,128,200,72,312,240,296,56,339.6363636363636,234.1818181818182,336,101.33333333333333,3792,1633127190904,1
104,856,752,872,120,128,8,104,96,704,608,688,80,728,648,720,72,560,488,664,176,112,-64,120,184,472,288,360,72,264,192,256,64,232,168,272,104,272,168,248,80,304,224,296,72,421.09090909090907,316.3636363636364,418.1818181818182,102,4704,1633127260184,1
96,176,80,208,128,144,16,112,96,144,48,160,112,672,560,672,112,224,112,288,176,96,-80,48,128,256,128,320,192,176,-16,80,96,160,64,176,112,144,32,128,96,256,160,240,80,222.54545454545453,100.36363636363636,221.0909090909091,118.66666666666667,2528,1633729497833,2
112,192,80,224,144,192,48,160,112,144,32,176,144,608,464,592,128,384,256,496,240,144,-96,16,112,224,112,288,176,144,-32,64,96,160,64,176,112,113,1,112,111,303,192,304,112,237.0909090909091,101.9090909090909,237.0909090909091,133.25,2720,1633729500825,2
112,240,128,256,128,208,80,192,112,192,80,192,112,512,400,528,128,240,112,368,256,128,-128,16,144,272,128,304,176,128,-48,64,112,160,48,160,112,129,17,96,79,223,144,224,80,221.0909090909091,87.36363636363636,218.1818181818182,129.25,2512,1633729504073,2
73,697,624,696,72,216,144,199,55,152,97,168,71,431,360,433,73,769,696,887,191,112,-79,121,200,399,199,263,64,217,153,216,63,423,360,440,80,288,208,273,65,273,208,287,79,361.54545454545456,270,362.09090909090907,90.5,4056,1633631740671,4
81,1625,1544,1600,56,384,328,400,72,207,135,215,80,297,217,273,56,287,231,423,192,96,-96,32,128,345,217,312,95,312,217,312,95,360,265,376,111,303,192,264,72,313,241,312,71,411.72727272727275,317.3636363636364,410.8181818181818,92.41666666666667,4600,1633631745647,4
72,512,440,513,73,281,208,287,79,279,200,304,104,592,488,553,65,289,224,600,376,287,-89,104,193,456,263,335,72,432,360,488,128,384,256,361,105,297,192,280,88,328,240,304,64,376.09090909090907,252.9090909090909,375.3636363636364,118.25,4201,1633631750847,4
163,400,237,385,148,414,266,409,143,169,26,154,128,533,405,529,124,232,108,516,408,260,-148,18,166,238,72,191,119,321,202,321,119,189,70,209,139,331,192,408,216,414,198,377,179,318.27272727272725,148,319.72727272727275,171,3680,1633664843283,5
183,418,235,387,152,545,393,561,168,277,109,236,127,824,697,841,144,140,-4,468,472,337,-135,27,162,235,73,209,136,333,197,321,124,605,481,660,179,381,202,330,128,439,311,515,204,412.1818181818182,232.63636363636363,414.09090909090907,181.58333333333334,4738,1633664847605,5
172,341,169,300,131,195,64,207,143,179,36,184,148,618,470,614,144,225,81,561,480,325,-155,13,168,194,26,147,121,239,118,246,128,180,52,188,136,237,101,317,216,1238,1022,1209,187,361,180.36363636363637,362.3636363636364,181.16666666666666,4158,1633664853149,5
71,312,241,312,71,120,49,96,47,119,72,136,64,1024,960,1008,48,377,329,521,192,111,-81,47,128,272,144,224,80,368,288,329,41,241,200,248,48,168,120,183,63,199,136,208,72,301,223.45454545454547,301.09090909090907,77.08333333333333,3383,1633667302273,6
81,409,328,399,71,111,40,104,64,129,65,128,63,752,689,744,55,216,161,345,184,112,-72,32,104,152,48,120,72,200,128,175,47,232,185,232,47,128,81,152,71,176,105,176,71,237.9090909090909,159.8181818181818,237,77.5,2688,1633667306144,6
80,537,457,520,63,151,88,129,41,105,64,119,55,375,320,352,32,849,817,1048,231,175,-56,24,80,217,137,216,79,327,248,288,40,224,184,224,40,160,120,184,64,224,160,225,65,304,230.8181818181818,302.6363636363636,72.5,3409,1633667312624,6
104,320,216,288,72,128,56,152,96,136,40,160,120,224,104,208,104,384,280,568,288,184,-104,8,112,184,72,160,88,160,72,168,96,112,16,152,136,128,-8,80,88,328,240,304,64,208,89.45454545454545,204.36363636363637,114,2352,1633667595953,7
104,81,1,88,87,159,72,192,120,328,208,304,96,344,248,496,248,128,-120,8,128,168,40,144,104,184,80,192,112,136,24,136,112,104,-8,104,112,288,176,280,104,1072,968,1048,80,272,153.54545454545453,272,117.25,1152,1633667601361,7
87,160,56,136,80,136,56,128,72,200,128,232,104,320,216,488,272,168,-104,16,120,152,32,136,104,160,56,160,104,105,1,104,103,167,64,176,112,272,160,247,87,648,561,672,111,226.1818181818182,111.45454545454545,226.8181818181818,113,759,1633667607793,7
112,392,280,399,119,176,57,160,103,136,33,137,104,1192,1088,1192,104,352,248,552,304,184,-120,16,136,208,72,192,120,192,72,160,88,96,8,136,128,130,2,120,118,278,160,256,96,303.27272727272725,172.72727272727272,301.8181818181818,127.66666666666667,3432,1633667608889,7
66,540,474,569,95,137,42,121,79,136,57,131,74,257,183,267,84,224,140,289,149,74,-75,25,100,152,52,114,62,174,112,175,63,114,51,128,77,80,3,63,60,857,797,854,57,249.54545454545453,166.9090909090909,248.72727272727272,80.5,2802,1633667949326,8
69,817,748,827,79,91,12,63,51,120,69,143,74,245,171,284,113,516,403,441,38,15,-23,22,45,101,56,84,28,140,112,166,54,233,179,247,68,110,42,134,92,280,188,342,154,242.54545454545453,177.9090909090909,250.27272727272728,72.08333333333333,2822,1633667952669,8
74,164,90,157,67,98,31,107,76,118,42,111,69,594,525,625,100,266,166,308,142,78,-64,25,89,157,68,129,61,142,81,146,65,109,44,114,70,101,31,96,65,251,186,210,24,188.9090909090909,109.0909090909091,184.36363636363637,75.16666666666667,2102,1633667961852,8
67,343,276,353,77,750,673,737,64,115,51,123,72,251,179,280,101,276,175,330,155,96,-59,47,106,188,82,143,61,144,83,147,64,103,39,107,68,117,49,118,69,790,721,775,54,288.45454545454544,206.27272727272728,287.27272727272725,79.83333333333333,3227,1633667969613,8
64,640,576,640,64,80,16,80,64,80,16,96,80,384,304,384,80,304,224,384,160,112,-48,48,96,144,48,128,80,256,176,304,128,368,240,320,80,112,32,80,48,160,112,160,48,240,154.1818181818182,238.54545454545453,82.66666666666667,2688,1633728522763,10
